ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
0.37,0.17,-0.89,-1.97,32.33,7.96,-0.20,0.90,0.39,6.03,0.86,-2.27,1764277165.381921
0.37,0.11,-0.60,-2.09,1.09,7.67,-0.21,0.90,0.40,4.81,2.00,-0.52,1764277165.3997595
0.30,0.16,0.22,11.26,-165.64,8.95,-0.21,0.91,0.38,3.22,1.84,0.93,1764277165.4181528
-0.12,0.30,0.22,42.16,-250.14,25.08,-0.19,0.90,0.37,-0.56,0.31,-4.15,1764277165.435932
-0.39,-0.18,-2.00,17.75,-250.14,15.53,-0.21,0.88,0.40,-5.42,5.71,-9.60,1764277165.4544332
-0.21,0.11,-1.82,-9.95,-250.14,-21.91,-0.24,0.91,0.41,-2.41,12.15,-10.21,1764277165.4722764
-0.06,0.21,-1.58,-3.64,-177.10,-1.26,-0.18,0.90,0.42,5.38,7.45,-7.08,1764277165.4903884
-0.19,0.11,-1.46,1.75,-75.49,0.52,-0.22,0.89,0.43,8.93,2.31,-3.69,1764277165.5078986
-0.16,0.01,-1.35,-2.53,26.79,-4.22,-0.22,0.91,0.42,9.01,1.15,1.82,1764277165.527932
-0.18,0.14,-1.26,-0.96,62.68,-2.71,-0.24,0.91,0.43,10.93,-1.55,3.10,1764277165.5461345
-0.14,0.11,-1.13,-1.94,100.92,-5.08,-0.23,0.90,0.40,12.38,-0.36,3.40,1764277165.563328
-0.10,0.11,-1.20,0.31,134.02,-5.57,-0.22,0.90,0.38,10.83,2.60,3.53,1764277165.584466
-0.02,0.09,-1.26,-2.05,189.69,-7.15,-0.20,0.89,0.37,9.22,1.66,3.92,1764277165.5998616
0.01,0.15,-1.05,-3.26,223.37,-6.41,-0.20,0.90,0.37,7.34,-1.12,3.37,1764277165.6156957
0.04,0.15,-0.81,-4.61,203.16,0.78,-0.19,0.89,0.38,5.56,-0.39,2.92,1764277165.6344774
0.10,0.16,-0.80,-7.69,161.18,0.46,-0.20,0.90,0.39,3.47,-0.09,1.32,1764277165.6524127
0.18,0.16,-0.97,-8.03,149.51,3.67,-0.20,0.91,0.40,1.58,-0.24,-0.07,1764277165.6705618
0.15,0.14,-0.86,-10.14,129.08,5.54,-0.21,0.91,0.43,3.12,-1.38,-1.05,1764277165.688669
0.25,0.14,-0.91,-3.60,93.16,3.11,-0.23,0.92,0.42,3.55,-0.45,-0.44,1764277165.7072072
0.25,0.10,-0.92,-8.03,81.03,2.56,-0.23,0.92,0.42,2.93,1.96,-0.20,1764277165.7241704
0.27,0.16,-0.90,-3.36,61.17,1.94,-0.22,0.91,0.41,5.24,1.50,-1.26,1764277165.745084
0.30,0.09,-0.86,-4.33,45.79,2.75,-0.23,0.90,0.40,5.32,2.58,-1.07,1764277165.7613156
0.34,0.11,-0.85,-1.70,26.01,0.00,-0.22,0.90,0.39,4.04,2.29,-0.55,1764277165.7787855
0.34,0.15,-0.88,-1.96,14.24,3.14,-0.22,0.90,0.39,4.91,0.55,-0.48,1764277165.796386
0.33,0.11,-0.92,-1.50,8.09,1.79,-0.22,0.90,0.38,5.01,1.50,0.13,1764277165.8141835
0.34,0.12,-0.51,1.17,-30.29,0.79,-0.21,0.90,0.37,2.74,4.99,0.08,1764277165.832299
0.21,0.23,0.32,25.98,-217.93,12.19,-0.20,0.90,0.40,0.32,3.53,-1.21,1764277165.8504324
0.04,0.23,-0.81,35.41,-250.14,22.70,-0.19,0.89,0.38,-1.97,0.98,-4.56,1764277165.8701506
-0.06,-0.06,-1.43,6.14,-250.14,5.91,-0.23,0.90,0.41,-4.98,4.79,-6.48,1764277165.894686
-0.12,0.11,-0.87,-13.98,-250.14,-8.38,-0.23,0.92,0.40,-2.70,8.06,-6.80,1764277165.9112437
-0.08,0.29,-1.77,1.85,-231.31,12.43,-0.20,0.91,0.39,-1.42,3.17,-6.70,1764277165.9256012
-0.16,0.03,-1.16,-0.28,-170.47,2.83,-0.24,0.90,0.42,-2.24,2.91,-5.18,1764277165.94152
-0.20,0.10,-1.32,-3.11,-83.45,4.85,-0.25,0.91,0.43,0.74,2.18,-2.09,1764277165.961953
-0.21,0.11,-1.40,-1.44,-8.29,3.27,-0.24,0.90,0.43,3.02,0.05,-0.20,1764277165.976639
-0.21,0.08,-1.33,-0.01,57.66,-3.92,-0.23,0.91,0.43,8.50,-0.70,1.69,1764277165.9949296
-0.17,0.11,-1.37,4.17,119.87,-1.65,-0.23,0.90,0.41,10.32,-1.50,3.65,1764277166.0137408
-0.14,0.04,-1.47,3.00,215.50,-7.79,-0.23,0.89,0.40,11.12,-1.23,5.49,1764277166.0305526
-0.12,0.11,-1.06,-4.02,250.13,-9.89,-0.23,0.90,0.40,8.87,-0.70,6.32,1764277166.0477884
0.01,0.15,-0.92,-6.44,250.13,-3.95,-0.21,0.89,0.39,6.72,-0.08,4.95,1764277166.0660748
0.04,0.16,-0.75,-11.37,215.15,-3.11,-0.21,0.90,0.39,4.43,0.31,2.86,1764277166.084763
0.13,0.18,-0.75,-11.52,157.37,2.40,-0.21,0.91,0.40,4.54,0.37,0.46,1764277166.1024327
0.17,0.12,-0.94,-10.28,141.93,0.56,-0.21,0.91,0.40,3.85,0.69,-0.41,1764277166.120225
0.26,0.16,-0.89,-3.92,112.41,0.85,-0.21,0.91,0.39,4.51,-0.31,-0.02,1764277166.1385372
0.27,0.16,-0.87,-5.53,92.10,6.89,-0.21,0.91,0.40,3.48,-0.80,-0.63,1764277166.158124
0.31,0.14,-0.99,-4.81,84.57,5.95,-0.22,0.91,0.40,2.80,-0.59,-0.90,1764277166.1745324
0.31,0.12,-0.91,-8.38,81.31,4.00,-0.23,0.91,0.40,3.30,0.05,-1.31,1764277166.195759
0.34,0.14,-0.84,-4.66,65.47,6.45,-0.22,0.91,0.41,5.09,0.02,-1.01,1764277166.212102
0.36,0.15,-0.80,-5.19,45.48,7.60,-0.21,0.91,0.40,5.92,-0.20,-0.54,1764277166.229574
0.36,0.14,-0.62,-2.75,9.45,7.25,-0.21,0.91,0.41,6.14,-0.38,0.31,1764277166.246408
0.31,0.18,0.89,18.73,-183.63,13.11,-0.21,0.91,0.41,5.49,-0.47,2.15,1764277166.2638059
-0.37,0.31,1.50,65.36,-250.14,33.29,-0.21,0.89,0.38,-8.12,-2.95,-7.50,1764277166.2826858
-0.77,-0.30,-2.00,16.82,-250.14,33.83,-0.21,0.85,0.39,-16.66,4.15,-18.60,1764277166.3004005
-0.49,-0.10,-2.00,-32.58,-250.14,-30.49,-0.28,0.92,0.38,-15.15,18.03,-16.56,1764277166.3185375
-0.29,0.20,-1.88,-11.49,-237.94,-4.63,-0.20,0.92,0.38,-2.36,12.09,-11.20,1764277166.336117
-0.24,0.12,-1.77,-7.00,-51.81,-0.69,-0.24,0.90,0.40,4.34,0.72,-2.54,1764277166.3545737
-0.39,-0.02,-1.43,-3.13,81.35,-3.70,-0.25,0.91,0.46,8.90,-4.50,5.69,1764277166.3728359
-0.32,0.13,-1.39,-2.13,163.59,4.37,-0.25,0.91,0.45,13.95,-9.06,10.34,1764277166.3903773
-0.34,0.04,-1.55,2.92,250.13,-2.62,-0.24,0.90,0.42,16.53,-5.93,10.63,1764277166.4093165
-0.27,0.14,-1.21,-2.85,250.13,-6.71,-0.22,0.91,0.40,14.16,-1.52,9.02,1764277166.426817
-0.17,0.17,-0.70,-7.18,250.13,-3.04,-0.21,0.91,0.41,12.86,0.83,5.56,1764277166.4450755
0.02,0.16,-0.75,-9.02,247.33,-0.84,-0.20,0.90,0.39,11.41,-0.74,2.70,1764277166.462962
0.10,0.16,-0.66,-17.38,189.50,0.21,-0.19,0.90,0.39,8.30,-2.15,2.28,1764277166.4797843
0.18,0.15,-0.77,-10.73,135.16,5.81,-0.19,0.90,0.39,5.91,-2.84,1.61,1764277166.5019717
0.24,0.15,-0.83,-11.91,112.42,3.85,-0.19,0.90,0.38,4.10,-2.95,-0.13,1764277166.5165277
0.25,0.15,-0.86,-10.21,92.23,7.66,-0.20,0.91,0.40,3.60,-1.94,-1.94,1764277166.534319
0.27,0.14,-0.83,-4.30,64.35,8.08,-0.22,0.91,0.41,5.18,-1.07,-3.06,1764277166.5526366
0.28,0.11,-0.91,-1.78,45.50,6.14,-0.22,0.91,0.40,4.25,0.60,-2.34,1764277166.5701876
0.30,0.13,-1.01,-2.75,49.93,7.80,-0.22,0.91,0.40,5.87,-0.92,-2.42,1764277166.5881062
0.33,0.13,-0.96,-2.56,51.09,6.84,-0.22,0.91,0.39,5.71,-0.65,-1.71,1764277166.608195
0.36,0.11,-0.93,-6.25,53.52,6.33,-0.21,0.90,0.39,5.11,-0.58,-2.20,1764277166.6239562
0.36,0.16,-0.88,-6.20,43.14,8.09,-0.21,0.90,0.39,5.28,-2.70,-2.21,1764277166.643015
0.37,0.13,-0.88,-4.98,33.08,7.07,-0.20,0.91,0.41,5.65,-2.44,-1.97,1764277166.6615164
0.40,0.16,-0.92,-5.13,25.92,7.86,-0.19,0.91,0.39,5.69,-3.76,-1.71,1764277166.680441
0.39,0.14,-0.94,-5.47,28.25,7.73,-0.19,0.90,0.40,5.48,-4.61,-1.86,1764277166.699128
0.41,0.15,-0.90,-6.91,28.53,7.63,-0.19,0.91,0.39,6.18,-4.73,-2.66,1764277166.713437
0.41,0.17,-0.87,-6.02,24.29,9.04,-0.18,0.91,0.41,6.39,-5.87,-3.85,1764277166.731181
0.41,0.18,-0.91,-5.30,16.24,10.72,-0.18,0.91,0.41,6.91,-6.33,-3.71,1764277166.7499478
0.40,0.19,-0.97,-8.75,23.16,9.39,-0.18,0.92,0.42,8.93,-6.58,-5.24,1764277166.7674081
0.42,0.25,-0.91,-5.19,20.40,13.47,-0.16,0.92,0.43,12.36,-7.87,-6.84,1764277166.7894034
0.43,0.22,-0.96,-4.51,22.91,16.40,-0.18,0.92,0.41,15.22,-7.40,-9.29,1764277166.8033187
0.42,0.24,-1.01,-1.03,31.31,19.84,-0.20,0.92,0.41,17.92,-3.27,-13.02,1764277166.8215628
0.42,0.22,-1.05,0.09,48.59,25.31,-0.21,0.93,0.42,24.13,1.80,-18.13,1764277166.839834
0.42,0.25,-0.91,9.57,50.03,27.49,-0.22,0.91,0.41,33.98,2.64,-23.82,1764277166.863054
0.47,0.13,-0.86,10.38,51.62,40.16,-0.21,0.92,0.41,45.28,-8.50,-23.53,1764277166.879928
0.49,0.15,-0.77,-4.31,41.26,48.34,-0.20,0.95,0.43,43.20,-29.22,-20.57,1764277166.8950922
0.52,0.09,-0.82,-23.62,29.63,64.57,-0.20,0.91,0.39,43.40,-55.50,-16.05,1764277166.9150295
0.56,-0.03,-0.76,-48.30,22.15,69.66,-0.26,0.91,0.35,43.00,-78.88,-7.29,1764277166.9305587
0.53,-0.08,-0.79,-67.31,14.29,66.56,-0.29,0.90,0.31,35.10,-93.15,3.89,1764277166.9482632
0.53,-0.25,-0.85,-79.33,23.20,45.05,-0.29,0.89,0.25,27.75,-100.70,17.90,1764277166.9668543
0.55,-0.05,-0.73,-86.87,26.60,34.89,-0.28,0.87,0.26,10.63,-97.23,26.68,1764277166.9841502
0.58,0.04,-0.69,-84.09,13.40,23.97,-0.23,0.87,0.24,0.65,-88.42,26.15,1764277167.0020266
0.59,0.12,-0.65,-70.60,-3.29,19.59,-0.22,0.87,0.24,-9.41,-72.25,18.75,1764277167.0224018
0.56,0.15,-0.75,-52.70,-17.06,9.31,-0.23,0.88,0.28,-16.49,-53.05,10.60,1764277167.0399902
0.52,0.17,-0.82,-26.60,-22.69,0.86,-0.22,0.89,0.33,-23.42,-26.56,2.50,1764277167.0560646
0.51,0.28,-0.88,-2.74,-26.26,-2.76,-0.20,0.93,0.36,-23.46,-3.82,-6.60,1764277167.0739145
0.49,0.28,-0.97,8.33,-23.02,-0.81,-0.16,0.95,0.45,-15.42,2.16,-10.60,1764277167.0945976
0.49,0.26,-0.99,9.25,-17.10,3.28,-0.15,0.98,0.46,-5.66,4.56,-9.52,1764277167.112674
0.48,0.17,-0.96,13.06,-15.39,-0.16,-0.18,0.97,0.45,-5.21,14.28,-7.07,1764277167.1313205
0.50,0.24,-0.73,16.86,-22.47,-5.45,-0.15,0.95,0.47,-2.71,19.51,-6.68,1764277167.1478086
0.46,0.23,-0.89,16.98,-42.86,1.76,-0.16,0.95,0.47,4.43,9.11,-5.50,1764277167.1638904
0.45,0.07,-1.00,11.40,-33.55,-2.55,-0.21,0.92,0.39,3.02,9.75,-1.66,1764277167.1824975
0.45,0.14,-0.92,10.96,-29.63,-10.56,-0.22,0.91,0.37,1.42,16.56,0.98,1764277167.2004035
0.47,0.12,-0.80,20.00,-37.77,-15.12,-0.24,0.89,0.36,-4.34,27.80,-1.27,1764277167.2213259
0.47,0.17,-0.96,22.67,-23.86,-20.80,-0.19,0.87,0.33,-5.58,36.37,-4.02,1764277167.23705
0.45,0.14,-0.78,26.81,-35.10,-22.94,-0.16,0.89,0.39,-5.27,32.07,-4.66,1764277167.2540123
0.44,0.18,-0.41,21.47,-69.10,-11.77,-0.17,0.91,0.40,-5.92,19.86,-2.08,1764277167.2722929
0.30,0.27,0.57,25.66,-228.92,-1.86,-0.18,0.92,0.43,-10.03,6.98,2.95,1764277167.2900906
0.19,0.15,-0.44,11.15,-250.14,2.96,-0.16,0.92,0.39,-8.84,-0.73,7.72,1764277167.3091393
-0.15,0.18,-1.23,-8.74,-250.14,-8.18,-0.17,0.90,0.41,-16.79,-1.82,2.63,1764277167.3280082
-0.27,0.17,-1.39,-16.80,-250.14,-19.28,-0.18,0.92,0.43,-15.55,1.21,-1.40,1764277167.3436706
-0.24,0.25,-1.77,-20.80,-250.14,-12.39,-0.17,0.92,0.44,-9.31,1.50,-0.91,1764277167.3624375
-0.12,0.35,-1.40,-14.66,-150.65,3.77,-0.15,0.93,0.45,-4.57,-7.18,0.27,1764277167.3813515
-0.16,0.22,-1.40,-12.29,-56.48,15.17,-0.16,0.93,0.45,1.89,-15.00,4.17,1764277167.399735
-0.25,0.13,-1.30,-10.97,28.39,13.52,-0.19,0.93,0.44,5.09,-14.53,8.92,1764277167.4155674
-0.22,0.20,-1.37,-8.91,102.18,7.50,-0.18,0.91,0.44,8.86,-9.67,9.79,1764277167.4353907
-0.18,0.21,-1.46,0.51,186.96,3.53,-0.16,0.90,0.42,12.21,-3.01,6.44,1764277167.4523044
-0.17,0.24,-1.25,6.95,250.13,-0.96,-0.15,0.90,0.43,12.28,2.94,2.29,1764277167.4724503
-0.04,0.23,-0.78,3.56,244.35,-0.98,-0.16,0.91,0.45,12.35,0.58,-0.12,1764277167.4910722
0.09,0.22,-0.83,-1.81,199.18,10.21,-0.14,0.91,0.43,11.25,-6.17,1.82,1764277167.5062757
0.14,0.17,-0.69,-16.19,156.19,8.79,-0.15,0.92,0.42,9.95,-13.53,4.23,1764277167.529673
0.22,0.20,-0.77,-18.59,109.70,15.84,-0.14,0.91,0.40,7.92,-16.43,7.53,1764277167.5458043
0.24,0.15,-0.85,-22.82,89.12,7.95,-0.13,0.90,0.40,5.28,-16.26,8.34,1764277167.5611875
0.27,0.29,-0.80,-19.69,68.86,10.56,-0.10,0.90,0.41,2.80,-15.85,4.28,1764277167.5779443
0.34,0.38,-0.74,-15.49,44.61,19.40,-0.06,0.90,0.42,3.75,-23.46,-2.19,1764277167.596912
0.36,0.31,-0.76,-9.21,17.31,28.33,-0.08,0.89,0.38,-1.75,-24.63,-7.44,1764277167.6143062
0.38,0.22,-0.89,-10.09,9.76,26.63,-0.06,0.89,0.41,-10.56,-29.80,-9.72,1764277167.6326342
0.36,0.28,-0.73,-19.98,-1.33,31.40,-0.08,0.89,0.43,-15.10,-42.63,-12.87,1764277167.6504092
0.38,0.28,-0.74,-28.06,-25.59,42.69,-0.07,0.87,0.43,-21.80,-60.55,-15.91,1764277167.6683893
0.34,0.22,-0.73,-38.05,-38.73,53.77,-0.14,0.85,0.42,-30.31,-73.42,-16.11,1764277167.6865458
0.27,0.04,-0.78,-42.09,-57.34,42.89,-0.21,0.85,0.42,-43.95,-68.00,-13.27,1764277167.7044382
0.23,0.09,-0.85,-33.29,-82.27,24.79,-0.21,0.87,0.42,-42.57,-50.73,-11.58,1764277167.722254
0.17,0.18,-0.24,-14.48,-182.40,19.77,-0.16,0.86,0.49,-42.17,-39.84,-13.31,1764277167.741025
0.08,0.22,-0.91,-6.20,-243.73,20.55,-0.16,0.85,0.47,-41.95,-31.92,-17.23,1764277167.7620792
-0.01,0.13,-1.12,-2.60,-242.45,7.65,-0.17,0.86,0.52,-45.24,-22.87,-16.23,1764277167.7798324
-0.16,0.21,-1.32,-8.40,-185.68,6.63,-0.19,0.90,0.57,-37.63,-13.24,-13.06,1764277167.7965467
-0.15,0.28,-1.35,-8.37,-185.54,-2.99,-0.16,0.89,0.60,-30.05,-10.19,-8.10,1764277167.8117115
-0.26,0.17,-0.87,-5.84,-201.35,-6.41,-0.17,0.91,0.63,-21.85,-0.54,-4.43,1764277167.8350728
-0.44,0.31,-0.37,-11.75,-240.28,-9.60,-0.15,0.92,0.71,-9.66,2.33,-6.26,1764277167.849683
-0.46,0.43,-1.37,-5.66,-244.71,1.66,-0.15,0.91,0.66,-0.35,2.56,-7.49,1764277167.8656733
-0.39,0.35,-1.43,11.09,-199.96,0.76,-0.14,0.84,0.61,0.56,5.65,-7.44,1764277167.8839076
-0.35,0.18,-1.19,3.50,-106.31,-3.59,-0.15,0.84,0.59,1.19,1.63,-3.95,1764277167.9024653
-0.38,0.25,-1.21,1.93,-40.18,0.39,-0.15,0.84,0.58,2.87,2.37,-1.66,1764277167.9203448
-0.42,0.24,-1.13,3.51,20.93,-2.55,-0.14,0.85,0.55,7.32,5.91,-1.74,1764277167.9476714
-0.34,0.25,-1.12,8.60,71.69,-4.49,-0.12,0.83,0.55,11.18,6.58,-1.92,1764277167.956192
-0.29,0.29,-1.24,10.40,136.30,3.91,-0.09,0.82,0.53,13.30,1.28,-0.54,1764277167.974488
-0.32,0.24,-1.33,4.87,228.71,7.50,-0.11,0.84,0.54,13.79,-1.90,1.98,1764277167.9956923
-0.29,0.28,-1.17,3.11,250.13,10.34,-0.13,0.84,0.55,12.97,-1.99,2.12,1764277168.0149984
-0.22,0.27,-0.81,1.37,250.13,10.53,-0.17,0.85,0.55,14.67,3.91,0.29,1764277168.0311823
-0.17,0.18,-0.88,4.79,238.34,-1.73,-0.18,0.86,0.56,12.89,16.05,-3.56,1764277168.0463989
-0.04,0.21,-0.94,8.27,210.60,-9.77,-0.17,0.85,0.56,12.19,30.84,-6.18,1764277168.0639534
-0.02,0.24,-0.92,17.14,187.60,-12.52,-0.21,0.84,0.52,11.61,42.95,-10.34,1764277168.0842557
0.08,0.14,-0.85,28.71,155.98,-22.77,-0.18,0.83,0.54,7.56,50.69,-11.10,1764277168.1002254
0.15,0.29,-0.73,16.83,142.05,-10.06,-0.17,0.84,0.56,9.74,39.56,-10.02,1764277168.1186967
0.23,0.18,-0.67,13.02,107.85,-0.76,-0.17,0.85,0.55,12.84,24.19,-4.79,1764277168.1362503
0.27,0.15,-0.78,5.60,77.49,3.24,-0.21,0.85,0.52,12.82,16.53,2.14,1764277168.1543136
0.24,0.16,-0.36,5.89,10.89,2.63,-0.20,0.86,0.57,13.76,18.34,5.87,1764277168.1723278
0.17,0.24,0.72,26.15,-186.55,5.23,-0.19,0.85,0.56,10.77,17.44,7.51,1764277168.1902487
-0.10,-0.03,0.58,31.28,-250.14,10.41,-0.18,0.81,0.49,-6.02,16.74,3.41,1764277168.2083406
-0.71,0.13,-1.23,58.29,-250.14,-36.34,-0.18,0.78,0.47,-27.71,20.19,-7.90,1764277168.2287765
-0.91,-0.00,-2.00,-6.94,-250.14,-58.87,-0.23,0.83,0.50,-25.02,34.62,-14.00,1764277168.246177
-0.57,0.42,-1.61,-16.37,-250.14,-37.41,-0.19,0.88,0.58,-12.03,33.18,-12.95,1764277168.263116
-0.44,0.27,-1.53,-15.11,-206.71,-26.69,-0.20,0.89,0.56,0.55,22.03,-2.82,1764277168.2800243
-0.50,0.18,-1.41,-16.29,-94.88,-11.31,-0.22,0.85,0.59,5.31,14.53,7.44,1764277168.2981737
-0.55,0.19,-1.41,-9.02,45.96,-5.11,-0.21,0.85,0.57,12.27,7.99,12.57,1764277168.3161602
-0.55,0.18,-1.19,-2.64,130.02,-5.94,-0.24,0.84,0.56,17.84,8.77,11.97,1764277168.3348823
-0.55,0.10,-1.47,0.74,231.00,-5.66,-0.26,0.84,0.51,22.68,14.66,14.30,1764277168.35263
-0.55,0.08,-1.28,-5.31,250.13,-11.99,-0.26,0.86,0.49,29.33,21.81,21.47,1764277168.3701472
-0.38,0.19,-0.93,-10.85,250.13,-8.22,-0.22,0.84,0.51,19.26,16.28,24.18,1764277168.3881142
-0.26,0.15,-0.67,-16.78,250.13,-9.04,-0.20,0.85,0.52,18.82,12.45,24.83,1764277168.4062645
-0.14,0.20,-0.65,-15.36,238.23,-8.30,-0.19,0.84,0.50,14.88,10.98,21.21,1764277168.4241955
-0.02,0.25,-0.83,-13.24,192.14,-9.52,-0.16,0.85,0.49,10.85,13.14,16.85,1764277168.4426417
0.05,0.22,-0.83,-9.63,166.33,-7.13,-0.14,0.86,0.49,7.06,15.25,10.77,1764277168.4625893
0.06,0.25,-0.72,-4.68,122.21,-12.51,-0.13,0.86,0.49,4.55,16.22,5.79,1764277168.4779928
0.17,0.26,-0.95,-0.02,98.76,-5.78,-0.14,0.86,0.49,2.00,16.61,4.39,1764277168.4961357
0.13,0.18,-0.89,-8.34,91.34,-8.06,-0.14,0.87,0.50,2.98,11.80,5.96,1764277168.516182
0.20,0.18,-0.78,-13.95,70.47,-10.99,-0.16,0.87,0.50,2.56,5.12,10.69,1764277168.5324116
0.22,0.21,-0.85,-15.59,45.52,-5.93,-0.17,0.87,0.50,2.18,-0.15,14.13,1764277168.553237
0.24,0.26,-0.94,-15.82,41.55,-2.69,-0.17,0.87,0.51,0.69,-0.63,13.30,1764277168.5682025
0.20,0.22,-0.98,-14.60,41.32,0.11,-0.19,0.86,0.52,1.99,-0.56,10.90,1764277168.5864465
0.22,0.16,-1.00,-7.81,39.33,-2.30,-0.21,0.86,0.50,0.93,3.11,9.44,1764277168.604008
0.23,0.09,-0.98,-12.40,39.85,-10.18,-0.23,0.87,0.50,0.09,6.82,12.96,1764277168.6225364
0.18,0.04,-1.14,-8.32,46.35,-19.70,-0.29,0.88,0.49,-0.29,16.19,19.20,1764277168.640665
0.19,0.08,-1.15,-6.55,64.49,-34.05,-0.27,0.89,0.49,1.91,29.89,26.37,1764277168.6580744
0.18,0.12,-0.95,-1.33,57.91,-40.84,-0.25,0.87,0.51,3.05,39.84,32.23,1764277168.6762853
0.26,0.26,-1.07,2.44,65.34,-39.40,-0.19,0.88,0.50,11.13,40.70,32.47,1764277168.6964836
0.29,0.24,-1.00,5.11,79.06,-38.42,-0.18,0.86,0.49,11.08,46.12,31.53,1764277168.7126656
0.35,0.22,-0.88,13.63,77.26,-45.73,-0.16,0.86,0.48,7.61,57.36,26.56,1764277168.729852
0.38,0.39,-0.80,24.80,65.73,-46.65,-0.09,0.86,0.50,8.80,62.53,14.78,1764277168.7501078
0.40,0.46,-0.78,42.49,48.85,-35.74,-0.09,0.88,0.48,8.29,70.02,0.66,1764277168.7662032
0.40,0.38,-0.92,58.09,45.17,-33.75,-0.12,0.87,0.46,2.75,82.44,-10.87,1764277168.7838755
0.39,0.34,-0.96,72.09,50.79,-37.62,-0.10,0.88,0.49,-0.44,89.68,-19.20,1764277168.8025973
0.41,0.42,-0.80,73.29,46.50,-27.33,-0.09,0.90,0.52,2.46,84.06,-26.02,1764277168.8212821
0.45,0.36,-0.81,66.68,33.15,-9.80,-0.11,0.91,0.50,5.67,67.10,-25.62,1764277168.8386455
0.46,0.18,-0.78,48.96,25.48,-4.70,-0.14,0.89,0.51,6.95,44.91,-19.97,1764277168.862905
0.47,0.23,-0.71,32.65,8.10,8.72,-0.17,0.88,0.47,5.73,25.93,-13.87,1764277168.8745134
0.43,0.11,-0.89,19.76,6.14,11.60,-0.20,0.87,0.45,4.43,13.26,-8.15,1764277168.896435
0.43,0.14,-0.91,3.85,9.00,9.34,-0.24,0.86,0.42,5.61,7.44,-7.02,1764277168.9121912
0.43,0.17,-1.00,4.95,21.57,15.20,-0.28,0.87,0.42,6.49,11.93,-8.65,1764277168.9308083
0.42,0.12,-0.85,10.60,17.60,10.54,-0.28,0.88,0.43,7.50,17.66,-10.76,1764277168.9463081
0.42,0.17,-0.83,20.38,4.61,12.08,-0.30,0.87,0.44,6.88,22.66,-13.11,1764277168.9643736
0.44,0.10,-0.64,27.02,-19.66,10.02,-0.29,0.87,0.46,4.51,25.00,-14.32,1764277168.9825032
0.43,0.09,-0.77,26.76,-52.89,9.38,-0.29,0.87,0.44,4.76,22.60,-13.00,1764277169.000088
0.36,0.01,-0.24,29.02,-142.27,4.48,-0.30,0.88,0.45,7.79,20.60,-9.80,1764277169.0185113
0.14,0.19,-0.02,47.31,-250.14,13.21,-0.29,0.87,0.45,7.22,17.40,-9.26,1764277169.0375788
0.07,0.21,-0.84,33.89,-250.14,43.02,-0.27,0.87,0.40,2.82,14.66,-8.56,1764277169.0549562
-0.21,-0.34,0.08,65.75,-250.14,0.65,-0.27,0.87,0.46,-2.38,12.75,-9.94,1764277169.0723684
-0.45,-0.41,-1.44,42.44,-250.14,-45.69,-0.29,0.84,0.41,-19.55,10.15,-9.28,1764277169.090491
-0.54,0.21,-2.00,9.35,-250.14,-40.69,-0.33,0.86,0.44,-19.34,8.99,-8.11,1764277169.111152
-0.47,-0.00,-1.53,-16.55,-250.14,-27.22,-0.29,0.88,0.47,-8.66,3.09,-5.18,1764277169.1277108
-0.52,0.13,-1.50,-34.18,-161.88,-5.60,-0.33,0.88,0.46,6.36,-4.14,-0.95,1764277169.1455896
-0.38,0.07,-1.51,-15.60,-38.43,9.56,-0.33,0.87,0.43,11.32,-6.40,6.52,1764277169.1644974
-0.43,-0.00,-1.23,-10.73,60.76,14.66,-0.32,0.86,0.45,13.39,-11.27,12.73,1764277169.1825445
-0.42,0.03,-1.15,-12.40,113.73,20.68,-0.32,0.85,0.45,15.40,-16.02,14.14,1764277169.2002509
-0.43,0.10,-1.61,-7.09,218.24,31.60,-0.30,0.86,0.43,23.05,-18.47,12.11,1764277169.2193596
-0.46,0.04,-1.56,-12.73,250.13,31.36,-0.31,0.87,0.44,28.18,-15.78,12.91,1764277169.23639
-0.44,-0.06,-1.14,-19.45,250.13,23.88,-0.31,0.89,0.44,27.18,-7.37,15.16,1764277169.2531805
-0.24,-0.02,-0.70,-34.76,250.13,5.90,-0.28,0.89,0.43,23.92,-4.93,15.24,1764277169.2706983
-0.08,0.06,-0.67,-27.66,250.13,3.15,-0.26,0.88,0.43,19.20,-4.82,13.82,1764277169.2908518
0.10,0.05,-0.74,-31.76,250.13,0.92,-0.26,0.87,0.41,12.35,-4.19,9.22,1764277169.3137116
0.15,0.18,-0.60,-19.75,190.70,0.76,-0.24,0.87,0.42,11.59,-2.60,2.80,1764277169.335294
0.26,0.19,-0.67,-11.35,130.44,9.34,-0.24,0.88,0.38,11.88,-1.34,-1.21,1764277169.3470678
0.35,0.13,-0.88,-7.90,110.34,14.00,-0.25,0.87,0.36,7.89,1.03,-3.05,1764277169.3630943
0.35,0.02,-0.72,-8.18,84.95,8.31,-0.26,0.87,0.39,4.54,2.15,-2.14,1764277169.3801794
0.37,0.08,-0.72,-7.68,46.64,5.93,-0.25,0.88,0.40,3.19,-0.74,-0.95,1764277169.3968549
0.37,0.11,-0.87,-6.08,31.62,10.20,-0.27,0.89,0.41,6.56,-3.39,-0.47,1764277169.4260097
