ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
0.20,0.03,0.92,15.37,-193.49,3.64,-0.21,0.91,0.52,9.56,18.30,3.32,1764277162.2678294
-0.19,0.22,-0.03,30.16,-250.14,20.07,-0.17,0.88,0.47,3.40,5.40,4.63,1764277162.2857337
-0.39,-0.19,-1.75,-16.97,-250.14,-3.16,-0.20,0.86,0.47,-6.06,7.14,0.46,1764277162.3073745
-0.35,0.32,-1.69,-23.67,-250.14,-19.99,-0.21,0.85,0.45,-2.46,11.28,-5.63,1764277162.3216908
-0.16,0.21,-1.81,-10.37,-250.14,-14.12,-0.18,0.87,0.43,3.94,12.15,-8.28,1764277162.3400028
-0.20,0.23,-1.04,-4.63,-190.49,-14.10,-0.20,0.88,0.46,3.26,14.10,-7.49,1764277162.3583624
-0.27,0.16,-1.47,-3.11,-94.05,-3.39,-0.20,0.88,0.46,6.72,7.04,-1.29,1764277162.377566
-0.31,0.19,-1.32,-1.89,11.16,0.98,-0.19,0.88,0.47,7.93,-1.34,3.86,1764277162.4002101
-0.30,0.20,-1.17,-1.25,65.56,2.68,-0.19,0.88,0.45,10.12,-5.81,6.39,1764277162.4118252
-0.27,0.18,-1.32,1.25,129.02,1.63,-0.19,0.89,0.45,12.02,-3.30,8.09,1764277162.4304183
-0.35,0.17,-1.56,4.51,244.76,-2.78,-0.19,0.89,0.47,15.88,1.59,8.07,1764277162.4481003
-0.31,0.24,-1.21,5.58,250.13,-5.27,-0.18,0.90,0.47,18.21,3.75,7.65,1764277162.4660885
-0.15,0.19,-0.85,4.20,250.13,-4.44,-0.18,0.89,0.47,15.60,6.17,6.47,1764277162.4843254
-0.05,0.24,-0.75,0.02,250.13,-2.31,-0.18,0.89,0.47,11.85,4.92,4.95,1764277162.5022411
0.04,0.17,-0.85,-10.56,212.28,-2.17,-0.17,0.89,0.47,10.34,3.07,4.89,1764277162.5207772
0.15,0.26,-1.02,-12.09,205.37,2.90,-0.17,0.89,0.44,8.95,0.37,4.14,1764277162.5378063
0.20,0.20,-0.80,-12.15,180.10,2.73,-0.17,0.89,0.44,8.03,0.30,3.44,1764277162.556492
0.23,0.28,-0.83,-7.83,139.72,10.78,-0.15,0.88,0.44,7.34,0.45,2.26,1764277162.5744174
0.30,0.17,-0.68,-8.15,95.66,7.56,-0.17,0.88,0.43,6.12,0.60,1.12,1764277162.5919168
0.33,0.20,-0.69,-3.96,56.40,7.61,-0.16,0.88,0.43,4.37,0.66,0.73,1764277162.6135051
0.36,0.22,-0.86,-0.63,34.95,7.27,-0.15,0.88,0.44,3.63,0.95,-0.34,1764277162.6308763
